"Country or Area","Year","Item","Value"
"China (mainland)","2015","Gross fixed capital formation (including Acquisitions less disposals of valuables)","28997000000000"
"China (mainland)","2015","Changes in inventories","785700000000"
"China (mainland)","2015","Exports of goods and services","14709900000000"
"China (mainland)","2015","Imports of goods and services","12475300000000"
"China (mainland)","2015","Gross Domestic Product (GDP)","68885800000000"
"China (mainland)","2014","Final consumption expenditure","33803100000000"
"China (mainland)","2014","Household consumption expenditure (including Non-profit institutions serving households)","23623800000000"
"China (mainland)","2014","General government final consumption expenditure","10179300000000"
"China (mainland)","2014","Gross capital formation","29490600000000"
"China (mainland)","2014","Gross fixed capital formation (including Acquisitions less disposals of valuables)","28224200000000"
"China (mainland)","2014","Changes in inventories","1266400000000"
"China (mainland)","2014","Exports of goods and services","15130200000000"
"China (mainland)","2014","Imports of goods and services","13769100000000"
"China (mainland)","2014","Gross Domestic Product (GDP)","64356300000000"
"China (mainland)","2013","Final consumption expenditure","30666300000000"
"China (mainland)","2013","Household consumption expenditure (including Non-profit institutions serving households)","21247700000000"
"China (mainland)","2013","General government final consumption expenditure","9418600000000"
"China (mainland)","2013","Gross capital formation","27512900000000"
"China (mainland)","2013","Gross fixed capital formation (including Acquisitions less disposals of valuables)","26398000000000"
"China (mainland)","2013","Changes in inventories","1114900000000"
"China (mainland)","2013","Exports of goods and services","14586500000000"
"China (mainland)","2013","Imports of goods and services","13131200000000"
"China (mainland)","2013","Gross Domestic Product (GDP)","59296300000000"
"China (mainland)","2012","Final consumption expenditure","27544400000000"
"China (mainland)","2012","Household consumption expenditure (including Non-profit institutions serving households)","19058500000000"
"China (mainland)","2012","General government final consumption expenditure","8485900000000"
"China (mainland)","2012","Gross capital formation","24896000000000"
"China (mainland)","2012","Gross fixed capital formation (including Acquisitions less disposals of valuables)","23832100000000"
"China (mainland)","2012","Changes in inventories","1063900000000"
"China (mainland)","2012","Exports of goods and services","13729800000000"
"China (mainland)","2012","Imports of goods and services","12266200000000"
"China (mainland)","2012","Gross Domestic Product (GDP)","53858000000000"
"China (mainland)","2011","Final consumption expenditure","24474800000000"
"China (mainland)","2011","Household consumption expenditure (including Non-profit institutions serving households)","17039100000000"
"China (mainland)","2011","General government final consumption expenditure","7435700000000"
"China (mainland)","2011","Gross capital formation","22767300000000"
"China (mainland)","2011","Gross fixed capital formation (including Acquisitions less disposals of valuables)","21401700000000"
"China (mainland)","2011","Changes in inventories","1365600000000"
"China (mainland)","2011","Exports of goods and services","12963700000000"
"China (mainland)","2011","Imports of goods and services","11794800000000"
"China (mainland)","2011","Gross Domestic Product (GDP)","48794000000000"
"China (mainland)","2010","Final consumption expenditure","20158100000000"
"China (mainland)","2010","Household consumption expenditure (including Non-profit institutions serving households)","14146500000000"
"China (mainland)","2010","General government final consumption expenditure","6011600000000"
"China (mainland)","2010","Gross capital formation","19186700000000"
"China (mainland)","2010","Gross fixed capital formation (including Acquisitions less disposals of valuables)","18104100000000"
"China (mainland)","2010","Changes in inventories","1082600000000"
"China (mainland)","2010","Exports of goods and services","11203600000000"
"China (mainland)","2010","Imports of goods and services","9697900000000"
"China (mainland)","2010","Gross Domestic Product (GDP)","41211900000000"
"China (mainland)","2009","Final consumption expenditure","17453900000000"
"China (mainland)","2009","Household consumption expenditure (including Non-profit institutions serving households)","12312200000000"
"China (mainland)","2009","General government final consumption expenditure","5141700000000"
"China (mainland)","2009","Gross capital formation","15807500000000"
"China (mainland)","2009","Gross fixed capital formation (including Acquisitions less disposals of valuables)","15269100000000"
"China (mainland)","2009","Changes in inventories","538400000000"
"China (mainland)","2009","Exports of goods and services","9107600000000"
"China (mainland)","2009","Imports of goods and services","7603900000000"
"China (mainland)","2009","Gross Domestic Product (GDP)","34851800000000"
"China (mainland)","2008","Final consumption expenditure","15890000000000"
"China (mainland)","2008","Household consumption expenditure (including Non-profit institutions serving households)","11265500000000"
"China (mainland)","2008","General government final consumption expenditure","4624500000000"
"China (mainland)","2008","Gross capital formation","13494200000000"
"China (mainland)","2008","Gross fixed capital formation (including Acquisitions less disposals of valuables)","12470100000000"
"China (mainland)","2008","Changes in inventories","1024100000000"
"China (mainland)","2008","Exports of goods and services","10985800000000"
"China (mainland)","2008","Imports of goods and services","8563100000000"
"China (mainland)","2008","Gross Domestic Product (GDP)","31924500000000"
"China (mainland)","2007","Final consumption expenditure","13773700000000"
"China (mainland)","2007","Household consumption expenditure (including Non-profit institutions serving households)","9823100000000"
"China (mainland)","2007","General government final consumption expenditure","3950600000000"
"China (mainland)","2007","Gross capital formation","10933900000000"
"China (mainland)","2007","Gross fixed capital formation (including Acquisitions less disposals of valuables)","10234500000000"
"China (mainland)","2007","Changes in inventories","699400000000"
"China (mainland)","2007","Exports of goods and services","9558600000000"
"China (mainland)","2007","Imports of goods and services","7216300000000"
"China (mainland)","2007","Gross Domestic Product (GDP)","27009200000000"
"China (mainland)","2006","Final consumption expenditure","11536400000000"
"China (mainland)","2006","Household consumption expenditure (including Non-profit institutions serving households)","8284200000000"
"China (mainland)","2006","General government final consumption expenditure","3252200000000"
"China (mainland)","2006","Gross capital formation","8757900000000"
"China (mainland)","2006","Gross fixed capital formation (including Acquisitions less disposals of valuables)","8497900000000"
"China (mainland)","2006","Changes in inventories","260000000000"
"China (mainland)","2006","Exports of goods and services","7905900000000"
"China (mainland)","2006","Imports of goods and services","6240400000000"
"China (mainland)","2006","Gross Domestic Product (GDP)","21943800000000"
"China (mainland)","2005","Final consumption expenditure","10187300000000"
"China (mainland)","2005","Household consumption expenditure (including Non-profit institutions serving households)","7415400000000"
"China (mainland)","2005","General government final consumption expenditure","2771900000000"
"China (mainland)","2005","Gross capital formation","7557600000000"
"China (mainland)","2005","Gross fixed capital formation (including Acquisitions less disposals of valuables)","7385200000000"
"China (mainland)","2005","Changes in inventories","172400000000"
"China (mainland)","2005","Exports of goods and services","6335000000000"
"China (mainland)","2005","Imports of goods and services","5314100000000"
"China (mainland)","2005","Gross Domestic Product (GDP)","18731900000000"
"China (mainland)","2004","Final consumption expenditure","8908600738584"
"China (mainland)","2004","Household consumption expenditure (including Non-profit institutions serving households)","6658695497042"
"China (mainland)","2004","General government final consumption expenditure","2249905241542"
"China (mainland)","2004","Gross capital formation","6942051184314"
"China (mainland)","2004","Gross fixed capital formation (including Acquisitions less disposals of valuables)","6566981184314"
"China (mainland)","2004","Changes in inventories","375070000000"
"China (mainland)","2004","Exports of goods and services","5026971900000"
"China (mainland)","2004","Imports of goods and services","4603411700000"
"China (mainland)","2004","Gross Domestic Product (GDP)","16184020000000"
"China (mainland)","2003","Final consumption expenditure","7951306984347"
"China (mainland)","2003","Household consumption expenditure (including Non-profit institutions serving households)","5934380720879"
"China (mainland)","2003","General government final consumption expenditure","2016926263467"
"China (mainland)","2003","Gross capital formation","5583670216708"
"China (mainland)","2003","Gross fixed capital formation (including Acquisitions less disposals of valuables)","5396440216708"
"China (mainland)","2003","Changes in inventories","187230000000"
"China (mainland)","2003","Exports of goods and services","4014589965305"
"China (mainland)","2003","Imports of goods and services","3718099965305"
"China (mainland)","2003","Gross Domestic Product (GDP)","13742200000000"
"China (mainland)","2002","Final consumption expenditure","7406815522490"
"China (mainland)","2002","Household consumption expenditure (including Non-profit institutions serving households)","5507636990114"
"China (mainland)","2002","General government final consumption expenditure","1899178532376"
"China (mainland)","2002","Gross capital formation","4512982905436"
"China (mainland)","2002","Gross fixed capital formation (including Acquisitions less disposals of valuables)","4379692905436"
"China (mainland)","2002","Changes in inventories","133290000000"
"China (mainland)","2002","Exports of goods and services","3024382905844"
"China (mainland)","2002","Imports of goods and services","2714962905844"
"China (mainland)","2002","Gross Domestic Product (GDP)","12171740000000"
"China (mainland)","2001","Final consumption expenditure","6854665539879"
"China (mainland)","2001","Household consumption expenditure (including Non-profit institutions serving households)","5070878259737"
"China (mainland)","2001","General government final consumption expenditure","1783787280143"
"China (mainland)","2001","Gross capital formation","4037884906079"
"China (mainland)","2001","Gross fixed capital formation (including Acquisitions less disposals of valuables)","3806394906079"
"China (mainland)","2001","Changes in inventories","231490000000"
"China (mainland)","2001","Exports of goods and services","2478222403644"
"China (mainland)","2001","Imports of goods and services","2245752403644"
"China (mainland)","2001","Gross Domestic Product (GDP)","11086310000000"
"China (mainland)","2000","Final consumption expenditure","6366771625975"
"China (mainland)","2000","Household consumption expenditure (including Non-profit institutions serving households)","4698777410344"
"China (mainland)","2000","General government final consumption expenditure","1667994215632"
"China (mainland)","2000","Gross capital formation","3452610351159"
"China (mainland)","2000","Gross fixed capital formation (including Acquisitions less disposals of valuables)","3352770351159"
"China (mainland)","2000","Changes in inventories","99840000000"
"China (mainland)","2000","Exports of goods and services","2313602221210"
"China (mainland)","2000","Imports of goods and services","2075302221210"
"China (mainland)","2000","Gross Domestic Product (GDP)","10028010000000"
"China (mainland)","1999","Final consumption expenditure","5662165958110"
"China (mainland)","1999","Household consumption expenditure (including Non-profit institutions serving households)","4191492827954"
"China (mainland)","1999","General government final consumption expenditure","1470673130156"
"China (mainland)","1999","Gross capital formation","3166563457731"
"China (mainland)","1999","Gross fixed capital formation (including Acquisitions less disposals of valuables)","3024143457731"
"China (mainland)","1999","Changes in inventories","142420000000"
"China (mainland)","1999","Exports of goods and services","1829212686325"
"China (mainland)","1999","Imports of goods and services","1575552686325"
"China (mainland)","1999","Gross Domestic Product (GDP)","9056440000000"
"China (mainland)","1998","Final consumption expenditure","5146038842413"
"China (mainland)","1998","Household consumption expenditure (including Non-profit institutions serving households)","3882179158233"
"China (mainland)","1998","General government final consumption expenditure","1263859684180"
"China (mainland)","1998","Gross capital formation","3039663769239"
"China (mainland)","1998","Gross fixed capital formation (including Acquisitions less disposals of valuables)","2875143769239"
"China (mainland)","1998","Changes in inventories","164520000000"
"China (mainland)","1998","Exports of goods and services","1717301449593"
"China (mainland)","1998","Imports of goods and services","1354371449593"
"China (mainland)","1998","Gross Domestic Product (GDP)","8519550000000"
"China (mainland)","1997","Final consumption expenditure","4750864520947"
"China (mainland)","1997","Household consumption expenditure (including Non-profit institutions serving households)","3662632374120"
"China (mainland)","1997","General government final consumption expenditure","1088232146828"
"China (mainland)","1997","Gross capital formation","2896617985716"
"China (mainland)","1997","Gross fixed capital formation (including Acquisitions less disposals of valuables)","2536317985716"
"China (mainland)","1997","Changes in inventories","360300000000"
"China (mainland)","1997","Exports of goods and services","1717981458808"
"China (mainland)","1997","Imports of goods and services","1362981458808"
"China (mainland)","1997","Gross Domestic Product (GDP)","7971500000000"
"China (mainland)","1996","Final consumption expenditure","4308676004132"
"China (mainland)","1996","Household consumption expenditure (including Non-profit institutions serving households)","3366034127228"
"China (mainland)","1996","General government final consumption expenditure","942641876904"
"China (mainland)","1996","Gross capital formation","2755658112855"
"China (mainland)","1996","Gross fixed capital formation (including Acquisitions less disposals of valuables)","2331978112855"
"China (mainland)","1996","Changes in inventories","423680000000"
"China (mainland)","1996","Exports of goods and services","1365272986222"
"China (mainland)","1996","Imports of goods and services","1219362986222"
"China (mainland)","1996","Gross Domestic Product (GDP)","7181360000000"
"China (mainland)","1995","Final consumption expenditure","3619792279983"
"China (mainland)","1995","Household consumption expenditure (including Non-profit institutions serving households)","2807285552082"
"China (mainland)","1995","General government final consumption expenditure","812506727901"
"China (mainland)","1995","Gross capital formation","2434251423332"
"China (mainland)","1995","Gross fixed capital formation (including Acquisitions less disposals of valuables)","2035741423332"
"China (mainland)","1995","Changes in inventories","398510000000"
"China (mainland)","1995","Exports of goods and services","1174833752603"
"China (mainland)","1995","Imports of goods and services","1074973752603"
"China (mainland)","1995","Gross Domestic Product (GDP)","6133990000000"
"China (mainland)","1994","Final consumption expenditure","2827226591325"
"China (mainland)","1994","Household consumption expenditure (including Non-profit institutions serving households)","2144609042320"
"China (mainland)","1994","General government final consumption expenditure","682617549005"
"China (mainland)","1994","Gross capital formation","1991630890254"
"China (mainland)","1994","Gross fixed capital formation (including Acquisitions less disposals of valuables)","1718790890254"
"China (mainland)","1994","Changes in inventories","272840000000"
"China (mainland)","1994","Exports of goods and services","978417533651"
"China (mainland)","1994","Imports of goods and services","915007533651"
"China (mainland)","1994","Gross Domestic Product (GDP)","4863750000000"
"China (mainland)","1993","Final consumption expenditure","2079667403064"
"China (mainland)","1993","Household consumption expenditure (including Non-profit institutions serving households)","1569615191398"
"China (mainland)","1993","General government final consumption expenditure","510052211666"
"China (mainland)","1993","Gross capital formation","1578288196011"
"China (mainland)","1993","Gross fixed capital formation (including Acquisitions less disposals of valuables)","1357438196011"
"China (mainland)","1993","Changes in inventories","220850000000"
"China (mainland)","1993","Exports of goods and services","471278225303"
"China (mainland)","1993","Imports of goods and services","539228225303"
"China (mainland)","1993","Gross Domestic Product (GDP)","3567320000000"
"China (mainland)","1992","Final consumption expenditure","1622507001475"
"China (mainland)","1992","Household consumption expenditure (including Non-profit institutions serving households)","1231222047347"
"China (mainland)","1992","General government final consumption expenditure","391284954128"
"China (mainland)","1992","Gross capital formation","1083354559543"
"China (mainland)","1992","Gross fixed capital formation (including Acquisitions less disposals of valuables)","846094559543"
"China (mainland)","1992","Changes in inventories","237260000000"
"China (mainland)","1992","Exports of goods and services","414938786124"
"China (mainland)","1992","Imports of goods and services","387378786124"
"China (mainland)","1992","Gross Domestic Product (GDP)","2719450000000"
"China (mainland)","1991","Final consumption expenditure","1361415146679"
"China (mainland)","1991","Household consumption expenditure (including Non-profit institutions serving households)","1054447173624"
"China (mainland)","1991","General government final consumption expenditure","306967973055"
"China (mainland)","1991","Gross capital formation","789250032419"
"China (mainland)","1991","Gross fixed capital formation (including Acquisitions less disposals of valuables)","579480032419"
"China (mainland)","1991","Changes in inventories","209770000000"
"China (mainland)","1991","Exports of goods and services","332761073874"
"China (mainland)","1991","Imports of goods and services","271001073874"
"China (mainland)","1991","Gross Domestic Product (GDP)","2200560000000"
"China (mainland)","1990","Final consumption expenditure","1200143822889"
"China (mainland)","1990","Household consumption expenditure (including Non-profit institutions serving households)","943503816258"
"China (mainland)","1990","General government final consumption expenditure","256640006631"
"China (mainland)","1990","Gross capital formation","655525777377"
"China (mainland)","1990","Gross fixed capital formation (including Acquisitions less disposals of valuables)","463605777377"
"China (mainland)","1990","Changes in inventories","191920000000"
"China (mainland)","1990","Exports of goods and services","264526664398"
"China (mainland)","1990","Imports of goods and services","213496664398"
"China (mainland)","1990","Gross Domestic Product (GDP)","1887290000000"
"China (mainland)","1989","Final consumption expenditure","1103331805086"
"China (mainland)","1989","Household consumption expenditure (including Non-profit institutions serving households)","877797015917"
"China (mainland)","1989","General government final consumption expenditure","225534789169"
"China (mainland)","1989","Gross capital formation","651184665534"
"China (mainland)","1989","Gross fixed capital formation (including Acquisitions less disposals of valuables)","451854665534"
"China (mainland)","1989","Changes in inventories","199330000000"
"China (mainland)","1989","Exports of goods and services","174599748548"
"China (mainland)","1989","Imports of goods and services","193149748548"
"China (mainland)","1989","Gross Domestic Product (GDP)","1717970000000"
"China (mainland)","1988","Final consumption expenditure","942304741787"
"China (mainland)","1988","Household consumption expenditure (including Non-profit institutions serving households)","753214335640"
"China (mainland)","1988","General government final consumption expenditure","189090406146"
"China (mainland)","1988","Gross capital formation","606028181374"
"China (mainland)","1988","Gross fixed capital formation (including Acquisitions less disposals of valuables)","484198181374"
"China (mainland)","1988","Changes in inventories","121830000000"
"China (mainland)","1988","Exports of goods and services","188203286785"
"China (mainland)","1988","Imports of goods and services","203323286785"
"China (mainland)","1988","Gross Domestic Product (GDP)","1518040000000"
"China (mainland)","1987","Final consumption expenditure","763866617197"
"China (mainland)","1987","Household consumption expenditure (including Non-profit institutions serving households)","604760008338"
"China (mainland)","1987","General government final consumption expenditure","159106608859"
"China (mainland)","1987","Gross capital formation","464472112200"
"China (mainland)","1987","Gross fixed capital formation (including Acquisitions less disposals of valuables)","382142112200"
"China (mainland)","1987","Changes in inventories","82330000000"
"China (mainland)","1987","Exports of goods and services","142744762726"
"China (mainland)","1987","Imports of goods and services","141664762726"
"China (mainland)","1987","Gross Domestic Product (GDP)","1217460000000"
"China (mainland)","1986","Final consumption expenditure","672697347549"
"China (mainland)","1986","Household consumption expenditure (including Non-profit institutions serving households)","529351960996"
"China (mainland)","1986","General government final consumption expenditure","143345386553"
"China (mainland)","1986","Gross capital formation","400186983348"
"China (mainland)","1986","Gross fixed capital formation (including Acquisitions less disposals of valuables)","329966983348"
"China (mainland)","1986","Changes in inventories","70220000000"
"China (mainland)","1986","Exports of goods and services","101830792882"
"China (mainland)","1986","Imports of goods and services","127350792882"
"China (mainland)","1986","Gross Domestic Product (GDP)","1037620000000"
"China (mainland)","1985","Final consumption expenditure","591794246139"
"China (mainland)","1985","Household consumption expenditure (including Non-profit institutions serving households)","462744290505"
"China (mainland)","1985","General government final consumption expenditure","129049955634"
"China (mainland)","1985","Gross capital formation","362963427602"
"China (mainland)","1985","Gross fixed capital formation (including Acquisitions less disposals of valuables)","284413427602"
"China (mainland)","1985","Changes in inventories","78550000000"
"China (mainland)","1985","Exports of goods and services","85285207039"
"China (mainland)","1985","Imports of goods and services","121995207039"
"China (mainland)","1985","Gross Domestic Product (GDP)","909890000000"
"China (mainland)","1984","Final consumption expenditure","478443319467"
"China (mainland)","1984","Household consumption expenditure (including Non-profit institutions serving households)","368954715798"
"China (mainland)","1984","General government final consumption expenditure","109488603669"
"China (mainland)","1984","Gross capital formation","256020195819"
"China (mainland)","1984","Gross fixed capital formation (including Acquisitions less disposals of valuables)","219210195819"
"China (mainland)","1984","Changes in inventories","36810000000"
"China (mainland)","1984","Exports of goods and services","64861376954"
"China (mainland)","1984","Imports of goods and services","64731376954"
"China (mainland)","1984","Gross Domestic Product (GDP)","727850000000"
"China (mainland)","1983","Final consumption expenditure","405958128173"
"China (mainland)","1983","Household consumption expenditure (including Non-profit institutions serving households)","322093733133"
"China (mainland)","1983","General government final consumption expenditure","83864395041"
"China (mainland)","1983","Gross capital formation","196831440704"
"China (mainland)","1983","Gross fixed capital formation (including Acquisitions less disposals of valuables)","174261440704"
"China (mainland)","1983","Changes in inventories","22570000000"
"China (mainland)","1983","Exports of goods and services","48825183283"
"China (mainland)","1983","Imports of goods and services","43745183283"
"China (mainland)","1983","Gross Domestic Product (GDP)","602090000000"
"China (mainland)","1982","Final consumption expenditure","357558961769"
"China (mainland)","1982","Household consumption expenditure (including Non-profit institutions serving households)","286711923422"
"China (mainland)","1982","General government final consumption expenditure","70847038348"
"China (mainland)","1982","Gross capital formation","175961967673"
"China (mainland)","1982","Gross fixed capital formation (including Acquisitions less disposals of valuables)","155861967673"
"China (mainland)","1982","Changes in inventories","20100000000"
"China (mainland)","1982","Exports of goods and services","48143017369"
"China (mainland)","1982","Imports of goods and services","39033017369"
"China (mainland)","1982","Gross Domestic Product (GDP)","537340000000"
"China (mainland)","1981","Final consumption expenditure","327732068959"
"China (mainland)","1981","Household consumption expenditure (including Non-profit institutions serving households)","262753101887"
"China (mainland)","1981","General government final consumption expenditure","64978967072"
"China (mainland)","1981","Gross capital formation","166283980240"
"China (mainland)","1981","Gross fixed capital formation (including Acquisitions less disposals of valuables)","138193980240"
"China (mainland)","1981","Changes in inventories","28090000000"
"China (mainland)","1981","Exports of goods and services","43100043559"
"China (mainland)","1981","Imports of goods and services","41390043559"
"China (mainland)","1981","Gross Domestic Product (GDP)","493580000000"
"China (mainland)","1980","Final consumption expenditure","296685441416"
"China (mainland)","1980","Household consumption expenditure (including Non-profit institutions serving households)","233688298021"
"China (mainland)","1980","General government final consumption expenditure","62997143395"
"China (mainland)","1980","Gross capital formation","162313101540"
"China (mainland)","1980","Gross fixed capital formation (including Acquisitions less disposals of valuables)","134583101540"
"China (mainland)","1980","Changes in inventories","27730000000"
"China (mainland)","1980","Exports of goods and services","31845782780"
"China (mainland)","1980","Imports of goods and services","33315782780"
"China (mainland)","1980","Gross Domestic Product (GDP)","458760000000"
"China (mainland)","1979","Final consumption expenditure","257825574911"
"China (mainland)","1979","Household consumption expenditure (including Non-profit institutions serving households)","201396422439"
"China (mainland)","1979","General government final consumption expenditure","56429152473"
"China (mainland)","1979","Gross capital formation","151991539043"
"China (mainland)","1979","Gross fixed capital formation (including Acquisitions less disposals of valuables)","119411539043"
"China (mainland)","1979","Changes in inventories","32580000000"
"China (mainland)","1979","Exports of goods and services","24858968342"
"China (mainland)","1979","Imports of goods and services","26858968342"
"China (mainland)","1979","Gross Domestic Product (GDP)","410050000000"
"China (mainland)","1978","Final consumption expenditure","223288395179"
"China (mainland)","1978","Household consumption expenditure (including Non-profit institutions serving households)","175910000000"
"China (mainland)","1978","General government final consumption expenditure","47378395179"
"China (mainland)","1978","Gross capital formation","141265005505"
"China (mainland)","1978","Gross fixed capital formation (including Acquisitions less disposals of valuables)","110865005505"
"China (mainland)","1978","Changes in inventories","30400000000"
"China (mainland)","1978","Exports of goods and services","19680505877"
"China (mainland)","1978","Imports of goods and services","20820505877"
"China (mainland)","1978","Gross Domestic Product (GDP)","367870000000"
"China (mainland)","1977","Final consumption expenditure","205466679673"
"China (mainland)","1977","Household consumption expenditure (including Non-profit institutions serving households)","164780000000"
"China (mainland)","1977","General government final consumption expenditure","40686679673"
"China (mainland)","1977","Gross capital formation","112589472889"
"China (mainland)","1977","Gross fixed capital formation (including Acquisitions less disposals of valuables)","93889472889"
"China (mainland)","1977","Changes in inventories","18700000000"
"China (mainland)","1977","Exports of goods and services","16404335746"
"China (mainland)","1977","Imports of goods and services","15394335746"
"China (mainland)","1977","Gross Domestic Product (GDP)","325000000000"
"China (mainland)","1976","Final consumption expenditure","196661391989"
"China (mainland)","1976","Household consumption expenditure (including Non-profit institutions serving households)","158850000000"
"China (mainland)","1976","General government final consumption expenditure","37811391989"
"China (mainland)","1976","Gross capital formation","101637773621"
"China (mainland)","1976","Gross fixed capital formation (including Acquisitions less disposals of valuables)","89137773621"
"China (mainland)","1976","Changes in inventories","12500000000"
"China (mainland)","1976","Exports of goods and services","15828951028"
"China (mainland)","1976","Imports of goods and services","14958951028"
"China (mainland)","1976","Gross Domestic Product (GDP)","298860000000"
"China (mainland)","1975","Final consumption expenditure","188365470484"
"China (mainland)","1975","Household consumption expenditure (including Non-profit institutions serving households)","152850000000"
"China (mainland)","1975","General government final consumption expenditure","35515470484"
"China (mainland)","1975","Gross capital formation","108889292671"
"China (mainland)","1975","Gross fixed capital formation (including Acquisitions less disposals of valuables)","90689292671"
"China (mainland)","1975","Changes in inventories","18200000000"
"China (mainland)","1975","Exports of goods and services","16791839740"
"China (mainland)","1975","Imports of goods and services","16721839740"
"China (mainland)","1975","Gross Domestic Product (GDP)","303950000000"
"China (mainland)","1974","Final consumption expenditure","180716549864"
"China (mainland)","1974","Household consumption expenditure (including Non-profit institutions serving households)","146700000000"
"China (mainland)","1974","General government final consumption expenditure","34016549864"
"China (mainland)","1974","Gross capital formation","95936999550"
"China (mainland)","1974","Gross fixed capital formation (including Acquisitions less disposals of valuables)","77136999550"
"China (mainland)","1974","Changes in inventories","18800000000"
"China (mainland)","1974","Exports of goods and services","16369108110"
"China (mainland)","1974","Imports of goods and services","17069108110"
"China (mainland)","1974","Gross Domestic Product (GDP)","282770000000"
"China (mainland)","1973","Final consumption expenditure","174838488912"
"China (mainland)","1973","Household consumption expenditure (including Non-profit institutions serving households)","143250000000"
"China (mainland)","1973","General government final consumption expenditure","31588488912"
"China (mainland)","1973","Gross capital formation","92651485032"
"China (mainland)","1973","Gross fixed capital formation (including Acquisitions less disposals of valuables)","68751485032"
"China (mainland)","1973","Changes in inventories","23900000000"
"China (mainland)","1973","Exports of goods and services","13727035424"
"China (mainland)","1973","Imports of goods and services","12247035424"
"China (mainland)","1973","Gross Domestic Product (GDP)","275620000000"
"China (mainland)","1972","Final consumption expenditure","164023300515"
"China (mainland)","1972","Household consumption expenditure (including Non-profit institutions serving households)","133420000000"
"China (mainland)","1972","General government final consumption expenditure","30603300515"
"China (mainland)","1972","Gross capital formation","81465599953"
"China (mainland)","1972","Gross fixed capital formation (including Acquisitions less disposals of valuables)","64565599953"
"China (mainland)","1972","Changes in inventories","16900000000"
"China (mainland)","1972","Exports of goods and services","9734570031"
"China (mainland)","1972","Imports of goods and services","7894570031"
